Time,open,high,low,close,volume,money,high_limit,low_limit,avg,paused,factor,pre_close
2016-08-16,12110.0,12195.0,12110.0,12195.0,64.0,3899450.0,13040.0,11105.0,12185.781,0.0,1.0,12075.0
2016-08-17,12195.0,12215.0,12195.0,12200.0,32.0,1952650.0,12670.0,11695.0,12204.063,0.0,1.0,12185.0
2016-08-18,12230.0,12360.0,12230.0,12360.0,108.0,6637900.0,12685.0,11710.0,12292.407,0.0,1.0,12200.0
2016-08-19,12360.0,12375.0,12280.0,12315.0,22.0,1354050.0,12780.0,11795.0,12309.545,0.0,1.0,12290.0
2016-08-22,12270.0,12270.0,12035.0,12175.0,86.0,5245000.0,12795.0,11810.0,12197.674,0.0,1.0,12305.0
2016-08-23,12180.0,12245.0,12160.0,12215.0,40.0,2444800.0,12680.0,11705.0,12224.0,0.0,1.0,12195.0
2016-08-24,12260.0,12270.0,12215.0,12220.0,118.0,7219900.0,12705.0,11730.0,12237.119,0.0,1.0,12220.0
2016-08-25,12220.0,12220.0,12155.0,12155.0,130.0,7914700.0,12720.0,11745.0,12176.462,0.0,1.0,12235.0
2016-08-26,12235.0,12235.0,12185.0,12185.0,132.0,8054650.0,12660.0,11685.0,12204.015,0.0,1.0,12175.0
2016-08-29,12170.0,12215.0,12165.0,12165.0,28.0,1706300.0,12685.0,11710.0,12187.857,0.0,1.0,12200.0
2016-08-30,12120.0,12180.0,12110.0,12110.0,42.0,2549400.0,12670.0,11695.0,12140.0,0.0,1.0,12185.0
2016-08-31,12040.0,12085.0,12020.0,12025.0,54.0,3253550.0,12625.0,11650.0,12050.185,0.0,1.0,12140.0
2016-09-01,12035.0,12050.0,12010.0,12050.0,26.0,1563550.0,12530.0,11565.0,12027.308,0.0,1.0,12050.0
2016-09-02,12090.0,12105.0,12060.0,12060.0,22.0,1328100.0,12505.0,11540.0,12073.636,0.0,1.0,12025.0
2016-09-05,12035.0,12035.0,11850.0,11865.0,290.0,17252850.0,12550.0,11585.0,11898.517,0.0,1.0,12070.0
2016-09-06,11800.0,11935.0,11795.0,11910.0,186.0,11024000.0,12370.0,11415.0,11853.763,0.0,1.0,11895.0
2016-09-07,11930.0,11935.0,11860.0,11880.0,154.0,9166300.0,12320.0,11375.0,11904.286,0.0,1.0,11850.0
2016-09-08,11880.0,11880.0,11800.0,11815.0,114.0,6746000.0,12375.0,11420.0,11835.088,0.0,1.0,11900.0
2016-09-09,11815.0,11860.0,11815.0,11855.0,1344.0,79614600.0,12305.0,11360.0,11847.411,0.0,1.0,11835.0
2016-09-12,11795.0,11835.0,11750.0,11805.0,386.0,22750400.0,12315.0,11370.0,11787.772,0.0,1.0,11845.0
2016-09-13,11805.0,11830.0,11760.0,11825.0,344.0,20309350.0,12255.0,11310.0,11807.762,0.0,1.0,11785.0
2016-09-14,11790.0,11815.0,11650.0,11650.0,384.0,22500400.0,12395.0,11210.0,11718.958,0.0,1.0,11805.0
2016-09-19,11715.0,11730.0,11645.0,11645.0,140.0,8174200.0,12300.0,11125.0,11677.429,0.0,1.0,11715.0
2016-09-20,11695.0,11845.0,11695.0,11845.0,66.0,3892550.0,12140.0,11205.0,11795.606,0.0,1.0,11675.0
2016-09-21,11845.0,11900.0,11830.0,11845.0,130.0,7709500.0,12265.0,11320.0,11860.769,0.0,1.0,11795.0
2016-09-22,11860.0,11975.0,11765.0,11955.0,200.0,11911900.0,12330.0,11385.0,11911.9,0.0,1.0,11860.0
2016-09-23,12025.0,12090.0,11875.0,12070.0,118.0,7092400.0,12385.0,11430.0,12021.017,0.0,1.0,11910.0
2016-09-26,12035.0,12035.0,11910.0,11935.0,66.0,3940500.0,12500.0,11535.0,11940.909,0.0,1.0,12020.0
2016-09-27,11905.0,12005.0,11905.0,11980.0,118.0,7058250.0,12415.0,11460.0,11963.136,0.0,1.0,11940.0
2016-09-28,11895.0,11955.0,11870.0,11955.0,114.0,6794950.0,12435.0,11480.0,11920.965,0.0,1.0,11960.0
2016-09-29,11985.0,12050.0,11960.0,11960.0,202.0,12125250.0,12395.0,11440.0,12005.198,0.0,1.0,11920.0
2016-09-30,11965.0,11965.0,11875.0,11875.0,298.0,17736450.0,12725.0,11280.0,11903.658,0.0,1.0,12005.0
2016-10-10,11955.0,11960.0,11885.0,11960.0,222.0,13249200.0,12610.0,11185.0,11936.216,0.0,1.0,11900.0
2016-10-11,12005.0,12105.0,11970.0,12095.0,282.0,17002750.0,12410.0,11455.0,12058.688,0.0,1.0,11935.0
2016-10-12,12095.0,12130.0,12055.0,12100.0,178.0,10763200.0,12535.0,11570.0,12093.483,0.0,1.0,12055.0
2016-10-13,12145.0,12220.0,12130.0,12200.0,126.0,7658850.0,12570.0,11605.0,12156.905,0.0,1.0,12090.0
2016-10-14,12200.0,12495.0,12200.0,12395.0,556.0,34440750.0,12640.0,11665.0,12388.759,0.0,1.0,12155.0
2016-10-17,12425.0,12425.0,12200.0,12240.0,306.0,18888600.0,12880.0,11885.0,12345.49,0.0,1.0,12385.0
2016-10-18,12220.0,12345.0,12195.0,12345.0,128.0,7845250.0,12835.0,11850.0,12258.203,0.0,1.0,12345.0
2016-10-19,12330.0,12370.0,12140.0,12140.0,304.0,18628150.0,12745.0,11760.0,12255.362,0.0,1.0,12255.0
2016-10-20,12140.0,12160.0,12110.0,12150.0,42.0,2548550.0,12745.0,11760.0,12135.952,0.0,1.0,12255.0
2016-10-21,12120.0,12200.0,12075.0,12170.0,48.0,2910550.0,12620.0,11645.0,12127.292,0.0,1.0,12135.0
2016-10-24,12240.0,12350.0,12220.0,12350.0,154.0,9457350.0,12610.0,11640.0,12282.273,0.0,1.0,12125.0
2016-10-25,12365.0,12770.0,12350.0,12735.0,364.0,22766900.0,12770.0,11785.0,12509.286,0.0,1.0,12280.0
2016-10-26,12995.0,12995.0,12860.0,12860.0,54.0,3483800.0,13005.0,12000.0,12902.963,0.0,1.0,12505.0
2016-10-27,12890.0,12890.0,12700.0,12780.0,546.0,34930700.0,13415.0,12380.0,12795.128,0.0,1.0,12900.0
2016-10-28,12760.0,12995.0,12760.0,12950.0,544.0,35209350.0,13305.0,12280.0,12944.614,0.0,1.0,12795.0
2016-10-31,13065.0,13130.0,12955.0,13080.0,590.0,38526950.0,13455.0,12420.0,13059.983,0.0,1.0,12940.0
2016-11-01,13160.0,13200.0,13040.0,13130.0,500.0,32730850.0,13575.0,12530.0,13092.34,0.0,1.0,13055.0
2016-11-02,13130.0,13130.0,12795.0,12860.0,516.0,33459350.0,13610.0,12565.0,12968.74,0.0,1.0,13090.0
2016-11-03,12860.0,13005.0,12850.0,13000.0,518.0,33454350.0,13480.0,12445.0,12916.737,0.0,1.0,12965.0
2016-11-04,13090.0,13280.0,12915.0,12935.0,224.0,14592050.0,13430.0,12395.0,13028.616,0.0,1.0,12915.0
2016-11-07,12950.0,13150.0,12950.0,13015.0,398.0,25947800.0,13545.0,12500.0,13039.095,0.0,1.0,13025.0
2016-11-08,13005.0,13170.0,12965.0,13010.0,318.0,20730600.0,13555.0,12510.0,13038.113,0.0,1.0,13035.0
2016-11-09,13080.0,13145.0,13050.0,13050.0,336.0,21941850.0,13555.0,12510.0,13060.625,0.0,1.0,13035.0
2016-11-10,13050.0,13580.0,13050.0,13580.0,296.0,19846000.0,13580.0,12535.0,13409.459,0.0,1.0,13060.0
2016-11-11,13590.0,13695.0,13380.0,13635.0,458.0,31149150.0,13940.0,12865.0,13602.249,0.0,1.0,13405.0
2016-11-14,13735.0,14270.0,13250.0,13735.0,514.0,35171200.0,14415.0,12780.0,13685.292,0.0,1.0,13600.0
2016-11-15,13640.0,13790.0,13280.0,13280.0,328.0,22355750.0,14505.0,12860.0,13631.555,0.0,1.0,13685.0
2016-11-16,13305.0,13360.0,13135.0,13195.0,222.0,14694100.0,14445.0,12810.0,13237.928,0.0,1.0,13630.0
2016-11-17,13180.0,13185.0,12980.0,13095.0,350.0,22910550.0,14025.0,12440.0,13091.743,0.0,1.0,13235.0
2016-11-18,13155.0,13300.0,13095.0,13300.0,254.0,16779150.0,13875.0,12300.0,13211.929,0.0,1.0,13090.0
2016-11-21,13340.0,13545.0,13205.0,13535.0,262.0,17515700.0,14000.0,12415.0,13370.763,0.0,1.0,13210.0
2016-11-22,13630.0,13745.0,13570.0,13650.0,42.0,2867650.0,14170.0,12565.0,13655.476,0.0,1.0,13370.0
2016-11-23,13735.0,13795.0,13590.0,13680.0,288.0,19745550.0,14470.0,12835.0,13712.188,0.0,1.0,13655.0
2016-11-24,13640.0,13895.0,13495.0,13810.0,324.0,22400350.0,14530.0,12885.0,13827.377,0.0,1.0,13710.0
2016-11-25,13800.0,13970.0,13800.0,13935.0,1886.0,131185100.0,14790.0,12855.0,13911.463,0.0,1.0,13825.0
2016-11-28,13995.0,14250.0,13860.0,14190.0,530.0,37441700.0,14880.0,12935.0,14128.943,0.0,1.0,13910.0
2016-11-29,14145.0,14145.0,13680.0,13680.0,304.0,21105600.0,15110.0,13135.0,13885.263,0.0,1.0,14125.0
2016-11-30,13700.0,13760.0,13350.0,13355.0,508.0,34190800.0,14855.0,12910.0,13460.945,0.0,1.0,13885.0
2016-12-01,13590.0,13700.0,13515.0,13635.0,342.0,23236300.0,14400.0,12515.0,13588.48,0.0,1.0,13460.0
2016-12-02,13500.0,13750.0,13500.0,13565.0,102.0,6918500.0,14535.0,12630.0,13565.686,0.0,1.0,13585.0
2016-12-05,13495.0,13605.0,13455.0,13455.0,140.0,9443650.0,14510.0,12615.0,13490.929,0.0,1.0,13565.0
2016-12-06,13525.0,13600.0,13470.0,13475.0,18.0,1217700.0,14430.0,12545.0,13530.0,0.0,1.0,13490.0
2016-12-07,13495.0,13595.0,13375.0,13595.0,150.0,10088800.0,14475.0,12580.0,13451.733,0.0,1.0,13530.0
2016-12-08,13605.0,13680.0,13400.0,13480.0,304.0,20606900.0,14390.0,12505.0,13557.171,0.0,1.0,13450.0
2016-12-09,13575.0,13700.0,13440.0,13660.0,164.0,11156300.0,14500.0,12605.0,13605.244,0.0,1.0,13555.0
2016-12-12,13625.0,13815.0,13575.0,13710.0,160.0,10994000.0,14555.0,12650.0,13742.5,0.0,1.0,13605.0
2016-12-13,13665.0,13730.0,13660.0,13675.0,182.0,12456450.0,14700.0,12775.0,13688.407,0.0,1.0,13740.0
2016-12-14,13680.0,13680.0,13460.0,13475.0,180.0,12195000.0,14640.0,12725.0,13550.0,0.0,1.0,13685.0
2016-12-15,13450.0,13530.0,13345.0,13485.0,64.0,4288650.0,14495.0,12600.0,13402.031,0.0,1.0,13550.0
2016-12-16,13395.0,13495.0,13380.0,13400.0,356.0,23935550.0,14335.0,12460.0,13446.938,0.0,1.0,13400.0
2016-12-19,13325.0,13380.0,13150.0,13155.0,776.0,51390200.0,14385.0,12500.0,13244.897,0.0,1.0,13445.0
2016-12-20,13080.0,13190.0,13005.0,13060.0,154.0,10091550.0,14165.0,12310.0,13105.909,0.0,1.0,13240.0
2016-12-21,13145.0,13220.0,13130.0,13190.0,432.0,28495450.0,14020.0,12185.0,13192.338,0.0,1.0,13105.0
2016-12-22,13190.0,13235.0,13105.0,13115.0,670.0,44175050.0,14110.0,12265.0,13186.582,0.0,1.0,13190.0
2016-12-23,13085.0,13205.0,13030.0,13105.0,356.0,23399600.0,14105.0,12260.0,13145.843,0.0,1.0,13185.0
2016-12-26,13140.0,13190.0,12855.0,13040.0,236.0,15347150.0,14065.0,12220.0,13006.059,0.0,1.0,13145.0
2016-12-27,13070.0,13170.0,12970.0,13165.0,84.0,5511850.0,13915.0,12090.0,13123.452,0.0,1.0,13005.0
2016-12-28,13180.0,13300.0,13095.0,13105.0,50.0,3299350.0,14035.0,12200.0,13197.4,0.0,1.0,13120.0
2016-12-29,13025.0,13110.0,12970.0,13110.0,94.0,6138850.0,14115.0,12270.0,13061.383,0.0,1.0,13195.0
2016-12-30,13060.0,13220.0,13010.0,13165.0,262.0,17228500.0,13970.0,12145.0,13151.527,0.0,1.0,13060.0
2017-01-03,13155.0,13155.0,12940.0,12940.0,96.0,6255900.0,14070.0,12225.0,13033.125,0.0,1.0,13150.0
2017-01-04,12985.0,12990.0,12855.0,12965.0,52.0,3356950.0,13940.0,12115.0,12911.346,0.0,1.0,13030.0
2017-01-05,12955.0,13015.0,12885.0,12885.0,112.0,7249700.0,13810.0,12005.0,12945.893,0.0,1.0,12910.0
2017-01-06,12875.0,12940.0,12810.0,12825.0,198.0,12739400.0,13850.0,12035.0,12868.081,0.0,1.0,12945.0
2017-01-09,12930.0,12960.0,12825.0,12885.0,132.0,8522100.0,13765.0,11960.0,12912.273,0.0,1.0,12865.0
2017-01-10,12855.0,13115.0,12855.0,13110.0,198.0,12812300.0,13810.0,12005.0,12941.717,0.0,1.0,12910.0
2017-01-11,13200.0,13310.0,13160.0,13310.0,438.0,28931300.0,13845.0,12030.0,13210.639,0.0,1.0,12940.0
2017-01-12,13270.0,13490.0,13240.0,13490.0,262.0,17469050.0,14130.0,12285.0,13335.153,0.0,1.0,13210.0
