DATE,TIME_M,SYM_ROOT,SYM_SUFFIX,SIZE,PRICE
20210316,4:00:00.025862334,TSLA,,22,710.77
20210316,4:00:01.263709896,TSLA,,2,710.77
20210316,4:00:02.256110376,TSLA,,5,710.77
20210316,4:00:02.334965433,TSLA,,50,710.77
20210316,4:00:02.359295435,TSLA,,163,710.77
20210316,4:00:02.434640474,TSLA,,3,710.77
20210316,4:00:02.434960171,TSLA,,4,710.77
20210316,4:00:03.261549725,TSLA,,10,710.77
20210316,4:00:03.346299805,TSLA,,2,710.77
20210316,4:00:04.037162503,TSLA,,20,710.77
20210316,4:00:04.060502298,TSLA,,1,710.77
20210316,4:00:04.366550021,TSLA,,100,710.77
20210316,4:00:04.366868708,TSLA,,50,710.77
20210316,4:00:04.367660259,TSLA,,1,710.77
20210316,4:00:04.367669526,TSLA,,30,710.77
20210316,4:00:04.367677119,TSLA,,30,710.77
20210316,4:00:04.367682761,TSLA,,2,710.77
20210316,4:00:04.367687518,TSLA,,10,710.77
20210316,4:00:04.409603074,TSLA,,10,710.35
20210316,4:00:04.409960733,TSLA,,1,710.35
20210316,4:00:04.411040849,TSLA,,2,710.35
20210316,4:00:04.430928465,TSLA,,2,710.35
20210316,4:00:04.431287639,TSLA,,25,710.35
20210316,4:00:04.432209573,TSLA,,1,710.35
20210316,4:00:04.432408693,TSLA,,25,710.35
20210316,4:00:04.432530662,TSLA,,7,710.35
20210316,4:00:05.449069721,TSLA,,1,710.35
20210316,4:00:05.449859201,TSLA,,25,710.35
20210316,4:00:05.450019548,TSLA,,1,710.35
20210316,4:00:05.450220290,TSLA,,2,710.35
20210316,4:00:06.327022943,TSLA,,100,710.35
20210316,4:00:08.288979654,TSLA,,1,710.35
20210316,4:00:08.340358961,TSLA,,1,710.35
20210316,4:00:08.509635793,TSLA,,1,710.85
20210316,4:00:08.915632720,TSLA,,1,710.35
20210316,4:00:08.928590253,TSLA,,82,710.35
20210316,4:00:09.005282915,TSLA,,2,710.35
20210316,4:00:09.611073371,TSLA,,2,710.35
20210316,4:00:09.611812225,TSLA,,100,710.35
20210316,4:00:10.117456471,TSLA,,10,710.35
20210316,4:00:10.617118109,TSLA,,99,710.35
20210316,4:00:10.617118337,TSLA,,50,710
20210316,4:00:10.617120262,TSLA,,20,710
20210316,4:00:10.617120484,TSLA,,3,710
20210316,4:00:11.171160402,TSLA,,2,710
20210316,4:00:11.353173241,TSLA,,12,710
20210316,4:00:11.353178889,TSLA,,1,710
20210316,4:00:11.376133174,TSLA,,1,707.94
20210316,4:00:11.861027895,TSLA,,1,707.02
20210316,4:00:12.309594196,TSLA,,1,707.42
20210316,4:00:12.309920657,TSLA,,1,708
20210316,4:00:12.825140391,TSLA,,1,707.42
20210316,4:00:13.782492176,TSLA,,248,707.42
20210316,4:00:14.188610144,TSLA,,2,707.94
20210316,4:00:14.188610389,TSLA,,50,707
20210316,4:00:14.188763513,TSLA,,17,706.53
20210316,4:00:14.188769162,TSLA,,81,706.52
20210316,4:00:14.287614238,TSLA,,9,710.85
20210316,4:00:14.290747672,TSLA,,3,710.9
20210316,4:00:14.292755529,TSLA,,17,710.99
20210316,4:00:14.292761309,TSLA,,100,711
20210316,4:00:14.292767275,TSLA,,43,711
20210316,4:00:15.863139480,TSLA,,1,706.52
20210316,4:00:17.832726836,TSLA,,1,706.52
20210316,4:00:18.432835397,TSLA,,1,707.94
20210316,4:00:21.538330263,TSLA,,10,706.04
20210316,4:00:21.577068255,TSLA,,10,709
20210316,4:00:27.291398454,TSLA,,1,708.2
20210316,4:00:27.291398691,TSLA,,1,709
20210316,4:00:27.291398981,TSLA,,1,710
20210316,4:00:27.291399205,TSLA,,1,710
20210316,4:00:27.291410005,TSLA,,1,710
20210316,4:00:27.414716719,TSLA,,5,710.74
20210316,4:00:30.614406668,TSLA,,40,706.41
20210316,4:00:30.614490095,TSLA,,17,706.52
20210316,4:00:31.833927533,TSLA,,10,706.41
20210316,4:00:31.964254996,TSLA,,2,706.41
20210316,4:00:32.141075243,TSLA,,5,706.41
20210316,4:00:32.543915593,TSLA,,5,707
20210316,4:00:32.543916088,TSLA,,1,707
20210316,4:00:32.543916228,TSLA,,2,707.94
20210316,4:00:32.543916443,TSLA,,2,708.04
20210316,4:00:32.543925642,TSLA,,10,708.6
20210316,4:00:32.886477230,TSLA,,1,706.41
20210316,4:00:33.027954182,TSLA,,1,706.41
20210316,4:00:38.695635810,TSLA,,1,706.1
20210316,4:00:39.216967087,TSLA,,2,706.1
20210316,4:00:40.406567876,TSLA,,56,706.04
20210316,4:00:40.406665704,TSLA,,3,706.1
20210316,4:00:40.406669109,TSLA,,41,706.03
20210316,4:00:43.811778466,TSLA,,2,706.2
20210316,4:00:43.811781194,TSLA,,59,706.03
20210316,4:00:46.504687031,TSLA,,7,707
20210316,4:00:46.564815252,TSLA,,1,706.1
20210316,4:00:46.564817745,TSLA,,4,706.1
20210316,4:00:46.565234140,TSLA,,2,706.1
20210316,4:00:48.393668542,TSLA,,1,706.1
20210316,4:00:52.232014158,TSLA,,1,705.83
20210316,4:00:53.880370517,TSLA,,10,705.53
20210316,4:00:53.880471171,TSLA,,1,705.31
20210316,4:00:53.880974267,TSLA,,1,705
20210316,4:00:54.779292324,TSLA,,2,705.01
20210316,4:00:55.485812481,TSLA,,5,703.77
20210316,4:01:00.256836661,TSLA,,21,705
20210316,4:01:02.085383738,TSLA,,79,705
20210316,4:01:03.095565961,TSLA,,20,704.6
20210316,4:01:03.095679774,TSLA,,52,704
20210316,4:01:03.096158212,TSLA,,1,704.2
20210316,4:01:04.125379949,TSLA,,16,704.91
20210316,4:01:04.917372805,TSLA,,4,705
20210316,4:01:06.924203696,TSLA,,5,705
20210316,4:01:09.199072727,TSLA,,5,705
20210316,4:01:10.332294994,TSLA,,2,705
20210316,4:01:10.730265934,TSLA,,3,705.01
20210316,4:01:11.658552613,TSLA,,2,705
20210316,4:01:11.658552821,TSLA,,1,704.92
20210316,4:01:12.099897730,TSLA,,20,704.4
20210316,4:01:12.099901038,TSLA,,25,703.95
20210316,4:01:12.099905256,TSLA,,6,703.77
20210316,4:01:12.100018122,TSLA,,45,703.77
20210316,4:01:12.110292644,TSLA,,20,704.37
20210316,4:01:12.171807774,TSLA,,33,703.84
20210316,4:01:12.226342003,TSLA,,7,703.84
20210316,4:01:13.757001913,TSLA,,22,704.41
20210316,4:01:16.970335492,TSLA,,10,703.77
20210316,4:01:16.989584183,TSLA,,1,704.91
20210316,4:01:24.693096235,TSLA,,25,704.03
20210316,4:01:25.054099172,TSLA,,20,704.91
20210316,4:01:25.366961078,TSLA,,1,703.83
20210316,4:01:32.053752110,TSLA,,1,704.37
20210316,4:01:32.055844325,TSLA,,1,704.37
20210316,4:01:32.286058162,TSLA,,1,704.37
20210316,4:01:32.286386202,TSLA,,1,704.03
20210316,4:01:37.659528543,TSLA,,3,704.91
20210316,4:01:45.493588747,TSLA,,1,704.37
20210316,4:01:49.059025067,TSLA,,2,704.37
20210316,4:01:54.053057386,TSLA,,10,704.38
20210316,4:01:54.053060416,TSLA,,1,704.37
20210316,4:01:57.477674904,TSLA,,199,704.03
20210316,4:01:57.478072412,TSLA,,1,704.03
20210316,4:02:00.823483177,TSLA,,1,704
20210316,4:02:02.028256577,TSLA,,2,704.79
20210316,4:02:02.115355057,TSLA,,3,704.18
20210316,4:02:02.115450542,TSLA,,3,704.77
20210316,4:02:03.160786364,TSLA,,15,704.18
20210316,4:02:05.412294730,TSLA,,6,704.37
20210316,4:02:08.440360690,TSLA,,1,704.18
20210316,4:02:10.963713052,TSLA,,2,704.18
20210316,4:02:21.904166618,TSLA,,1,704.18
20210316,4:02:24.278304285,TSLA,,5,704.18
20210316,4:02:25.069303324,TSLA,,1,704.87
20210316,4:02:27.611213175,TSLA,,23,704.91
20210316,4:02:27.611213322,TSLA,,9,704.98
20210316,4:02:27.611213542,TSLA,,68,705
20210316,4:02:28.763531207,TSLA,,25,705
20210316,4:02:28.987812822,TSLA,,5,705
20210316,4:02:30.944908250,TSLA,,1,705
20210316,4:02:30.979143405,TSLA,,2,704.76
20210316,4:02:31.255942300,TSLA,,28,705
20210316,4:02:31.255944382,TSLA,,1,705
20210316,4:02:33.936283427,TSLA,,1,705
20210316,4:02:34.558000346,TSLA,,25,704.89
20210316,4:02:34.558000513,TSLA,,25,704.67
20210316,4:02:35.723294724,TSLA,,490,705.11
20210316,4:02:35.723298712,TSLA,,116,705.11
20210316,4:02:35.924153925,TSLA,,10,705.11
