Time,open,high,low,close,volume,money,high_limit,low_limit,avg,paused,factor,pre_close
2006-07-18,,,,,,,,,,,,
2006-07-19,,,,,,,,,,,,
2006-07-20,,,,,,,,,,,,
2006-07-21,,,,,,,,,,,,
2006-07-24,,,,,,,,,,,,
2006-07-25,,,,,,,,,,,,
2006-07-26,,,,,,,,,,,,
2006-07-27,,,,,,,,,,,,
2006-07-28,,,,,,,,,,,,
2006-07-31,,,,,,,,,,,,
2006-08-01,,,,,,,,,,,,
2006-08-02,,,,,,,,,,,,
2006-08-03,,,,,,,,,,,,
2006-08-04,,,,,,,,,,,,
2006-08-07,,,,,,,,,,,,
2006-08-08,,,,,,,,,,,,
2006-08-09,,,,,,,,,,,,
2006-08-10,,,,,,,,,,,,
2006-08-11,,,,,,,,,,,,
2006-08-14,,,,,,,,,,,,
2006-08-15,,,,,,,,,,,,
2006-08-16,,,,,,,,,,,,
2006-08-17,,,,,,,,,,,,
2006-08-18,,,,,,,,,,,,
2006-08-21,,,,,,,,,,,,
2006-08-22,,,,,,,,,,,,
2006-08-23,,,,,,,,,,,,
2006-08-24,,,,,,,,,,,,
2006-08-25,,,,,,,,,,,,
2006-08-28,18050.0,18050.0,18050.0,18050.0,10.0,902500.0,1073741824.0,1.0,18050.0,0.0,1.0,
2006-08-29,18050.0,18050.0,18050.0,18050.0,0.0,0.0,18590.0,17505.0,18050.0,0.0,1.0,18050.0
2006-08-30,18150.0,18150.0,18150.0,18150.0,10.0,907500.0,18590.0,17505.0,18150.0,0.0,1.0,18050.0
2006-08-31,18150.0,18150.0,18150.0,18150.0,0.0,0.0,18690.0,17605.0,18150.0,0.0,1.0,18150.0
2006-09-01,18150.0,18150.0,18150.0,18150.0,0.0,0.0,18690.0,17605.0,18150.0,0.0,1.0,18150.0
2006-09-04,18150.0,18150.0,18150.0,18150.0,0.0,0.0,18690.0,17605.0,18150.0,0.0,1.0,18150.0
2006-09-05,18350.0,18350.0,18350.0,18350.0,10.0,917500.0,18690.0,17605.0,18350.0,0.0,1.0,18150.0
2006-09-06,19050.0,19050.0,19050.0,19050.0,2.0,190500.0,18900.0,17795.0,19050.0,0.0,1.0,18350.0
2006-09-07,19050.0,19050.0,19050.0,19050.0,0.0,0.0,19620.0,18475.0,19050.0,0.0,1.0,19050.0
2006-09-08,19050.0,19050.0,19050.0,19050.0,0.0,0.0,19620.0,18475.0,19050.0,0.0,1.0,19050.0
2006-09-11,19050.0,19050.0,19050.0,19050.0,0.0,0.0,19620.0,18475.0,19050.0,0.0,1.0,19050.0
2006-09-12,19050.0,19050.0,19050.0,19050.0,0.0,0.0,19620.0,18475.0,19050.0,0.0,1.0,19050.0
2006-09-13,18400.0,18400.0,18280.0,18280.0,24.0,2205600.0,19620.0,18475.0,18400.0,0.0,1.0,19050.0
2006-09-14,17920.0,18280.0,17900.0,17980.0,66.0,5953200.0,18930.0,17825.0,17920.0,0.0,1.0,18380.0
2006-09-15,17950.0,17950.0,17890.0,17890.0,66.0,5907000.0,18580.0,17495.0,17950.0,0.0,1.0,18040.0
2006-09-18,18000.0,18000.0,17840.0,17840.0,74.0,6619300.0,18435.0,17360.0,18000.0,0.0,1.0,17900.0
2006-09-19,17900.0,17900.0,17830.0,17890.0,28.0,2500400.0,18425.0,17350.0,17900.0,0.0,1.0,17890.0
2006-09-20,17800.0,17800.0,17800.0,17800.0,10.0,890000.0,18395.0,17320.0,17800.0,0.0,1.0,17860.0
2006-09-21,17950.0,18000.0,17950.0,18000.0,22.0,1974500.0,18330.0,17265.0,17950.0,0.0,1.0,17800.0
2006-09-22,18100.0,18100.0,18100.0,18100.0,10.0,905000.0,18485.0,17410.0,18100.0,0.0,1.0,17950.0
2006-09-25,17910.0,17910.0,17910.0,17910.0,4.0,358200.0,18640.0,17555.0,17910.0,0.0,1.0,18100.0
2006-09-26,17810.0,17880.0,17730.0,17730.0,20.0,1779000.0,18445.0,17370.0,17810.0,0.0,1.0,17910.0
2006-09-27,17950.0,18090.0,17900.0,17900.0,150.0,13500000.0,18320.0,17255.0,17950.0,0.0,1.0,17790.0
2006-09-28,17950.0,18000.0,17950.0,18000.0,4.0,359400.0,18540.0,17460.0,17950.0,0.0,1.0,18000.0
2006-09-29,18200.0,18200.0,18010.0,18150.0,8.0,723600.0,18505.0,17430.0,18200.0,0.0,1.0,17970.0
2006-10-09,18200.0,18200.0,18100.0,18100.0,24.0,2174400.0,18630.0,17545.0,18200.0,0.0,1.0,18090.0
2006-10-10,18010.0,18100.0,18010.0,18100.0,30.0,2712000.0,18660.0,17575.0,18010.0,0.0,1.0,18120.0
2006-10-11,18100.0,18100.0,18100.0,18100.0,0.0,0.0,18620.0,17535.0,18100.0,0.0,1.0,18080.0
2006-10-12,18200.0,18460.0,18200.0,18460.0,44.0,4030400.0,18620.0,17535.0,18200.0,0.0,1.0,18080.0
2006-10-13,18400.0,18460.0,18360.0,18400.0,46.0,4232000.0,18865.0,17770.0,18400.0,0.0,1.0,18320.0
2006-10-16,18500.0,18720.0,18500.0,18700.0,28.0,2611000.0,18950.0,17845.0,18500.0,0.0,1.0,18400.0
2006-10-17,19150.0,19370.0,19100.0,19370.0,194.0,18633700.0,19205.0,18090.0,19150.0,0.0,1.0,18650.0
2006-10-18,19320.0,19320.0,19180.0,19210.0,20.0,1920000.0,19785.0,18630.0,19320.0,0.0,1.0,19210.0
2006-10-19,19310.0,19590.0,19310.0,19550.0,50.0,4862500.0,19775.0,18620.0,19310.0,0.0,1.0,19200.0
2006-10-20,19790.0,20220.0,19790.0,20080.0,162.0,16256700.0,20030.0,18865.0,19790.0,0.0,1.0,19450.0
2006-10-23,20080.0,20150.0,19960.0,20130.0,96.0,9624000.0,20670.0,19465.0,20080.0,0.0,1.0,20070.0
2006-10-24,20000.0,20030.0,19900.0,19900.0,12.0,1197600.0,20650.0,19445.0,20000.0,0.0,1.0,20050.0
2006-10-25,19750.0,19750.0,19550.0,19550.0,36.0,3537000.0,20555.0,19360.0,19750.0,0.0,1.0,19960.0
2006-10-26,20200.0,20200.0,20060.0,20100.0,20.0,2011000.0,20235.0,19060.0,20200.0,0.0,1.0,19650.0
2006-10-27,19900.0,20120.0,19900.0,20100.0,30.0,3009000.0,20710.0,19505.0,19900.0,0.0,1.0,20110.0
2006-10-30,20050.0,20050.0,19760.0,19800.0,106.0,10536400.0,20660.0,19455.0,20050.0,0.0,1.0,20060.0
2006-10-31,19570.0,19570.0,19080.0,19100.0,150.0,14362500.0,20475.0,19280.0,19570.0,0.0,1.0,19880.0
2006-11-01,19000.0,19320.0,18990.0,19200.0,134.0,12843900.0,19720.0,18575.0,19000.0,0.0,1.0,19150.0
2006-11-02,18890.0,19860.0,18830.0,19000.0,96.0,9201600.0,19745.0,18590.0,18890.0,0.0,1.0,19170.0
2006-11-03,19120.0,19160.0,19010.0,19020.0,124.0,11823400.0,19745.0,18590.0,19120.0,0.0,1.0,19170.0
2006-11-06,19200.0,19250.0,19180.0,19250.0,72.0,6912000.0,19640.0,18495.0,19200.0,0.0,1.0,19070.0
2006-11-07,19380.0,19400.0,19300.0,19350.0,166.0,16043900.0,19775.0,18620.0,19380.0,0.0,1.0,19200.0
2006-11-08,19350.0,19350.0,19120.0,19120.0,20.0,1924000.0,19905.0,18750.0,19350.0,0.0,1.0,19330.0
2006-11-09,18800.0,18850.0,18800.0,18800.0,44.0,4136000.0,19815.0,18660.0,18800.0,0.0,1.0,19240.0
2006-11-10,19280.0,19360.0,18820.0,19120.0,32.0,3072000.0,19360.0,18235.0,19280.0,0.0,1.0,18800.0
2006-11-13,18600.0,18780.0,18600.0,18710.0,50.0,4680000.0,19775.0,18620.0,18600.0,0.0,1.0,19200.0
2006-11-14,18600.0,19000.0,18600.0,18700.0,30.0,2818500.0,19280.0,18155.0,18600.0,0.0,1.0,18720.0
2006-11-15,18800.0,18820.0,18550.0,18620.0,282.0,26479800.0,19350.0,18225.0,18800.0,0.0,1.0,18790.0
2006-11-16,18700.0,18850.0,18700.0,18740.0,36.0,3378600.0,19340.0,18215.0,18700.0,0.0,1.0,18780.0
2006-11-17,18770.0,18770.0,18450.0,18550.0,88.0,8179600.0,19330.0,18205.0,18770.0,0.0,1.0,18770.0
2006-11-20,18430.0,18660.0,18430.0,18660.0,44.0,4081000.0,19145.0,18030.0,18430.0,0.0,1.0,18590.0
2006-11-21,18600.0,18860.0,18570.0,18770.0,64.0,6006400.0,19105.0,17990.0,18600.0,0.0,1.0,18550.0
2006-11-22,18870.0,18940.0,18810.0,18870.0,174.0,16416900.0,19330.0,18205.0,18870.0,0.0,1.0,18770.0
2006-11-23,18810.0,18930.0,18810.0,18930.0,4.0,377400.0,19435.0,18300.0,18810.0,0.0,1.0,18870.0
2006-11-24,18880.0,19050.0,18880.0,19010.0,54.0,5127300.0,19435.0,18300.0,18880.0,0.0,1.0,18870.0
2006-11-27,19020.0,19200.0,19020.0,19150.0,42.0,4015200.0,19555.0,18420.0,19020.0,0.0,1.0,18990.0
2006-11-28,19020.0,19020.0,18950.0,18960.0,12.0,1138800.0,19690.0,18545.0,19020.0,0.0,1.0,19120.0
2006-11-29,18860.0,18990.0,18860.0,18990.0,10.0,944000.0,19545.0,18410.0,18860.0,0.0,1.0,18980.0
2006-11-30,18990.0,18990.0,18990.0,18990.0,0.0,0.0,19445.0,18310.0,18990.0,0.0,1.0,18880.0
2006-12-01,19110.0,19150.0,18960.0,19020.0,160.0,15264000.0,19445.0,18310.0,19110.0,0.0,1.0,18880.0
2006-12-04,19300.0,19380.0,19240.0,19380.0,120.0,11580000.0,19650.0,18505.0,19300.0,0.0,1.0,19080.0
2006-12-05,19400.0,19400.0,19200.0,19200.0,146.0,14074400.0,19875.0,18720.0,19400.0,0.0,1.0,19300.0
2006-12-06,19600.0,19600.0,19210.0,19280.0,158.0,15231200.0,19855.0,18700.0,19600.0,0.0,1.0,19280.0
2006-12-07,19250.0,19250.0,19100.0,19160.0,46.0,4406800.0,19855.0,18700.0,19250.0,0.0,1.0,19280.0
2006-12-08,19120.0,19200.0,19120.0,19200.0,76.0,7284600.0,19730.0,18585.0,19120.0,0.0,1.0,19160.0
2006-12-11,19300.0,19300.0,19190.0,19200.0,102.0,9797100.0,19745.0,18590.0,19300.0,0.0,1.0,19170.0
2006-12-12,19270.0,19270.0,19130.0,19170.0,48.0,4598400.0,19785.0,18630.0,19270.0,0.0,1.0,19210.0
2006-12-13,19090.0,19280.0,19070.0,19230.0,112.0,10740800.0,19730.0,18585.0,19090.0,0.0,1.0,19160.0
2006-12-14,19400.0,19400.0,19140.0,19150.0,88.0,8452400.0,19755.0,18600.0,19400.0,0.0,1.0,19180.0
2006-12-15,19250.0,19650.0,19250.0,19250.0,74.0,7122500.0,19785.0,18630.0,19250.0,0.0,1.0,19210.0
2006-12-18,19240.0,19240.0,19100.0,19210.0,56.0,5367600.0,19905.0,18750.0,19240.0,0.0,1.0,19330.0
2006-12-19,19050.0,19250.0,19050.0,19220.0,40.0,3840000.0,19745.0,18590.0,19050.0,0.0,1.0,19170.0
2006-12-20,19340.0,19340.0,19180.0,19250.0,430.0,41323000.0,19775.0,18620.0,19340.0,0.0,1.0,19200.0
2006-12-21,19290.0,19290.0,19160.0,19190.0,82.0,7867900.0,19795.0,18640.0,19290.0,0.0,1.0,19220.0
2006-12-22,19280.0,19280.0,18890.0,18890.0,246.0,23370000.0,19765.0,18610.0,19280.0,0.0,1.0,19190.0
