Time,open,high,low,close,volume,money,high_limit,low_limit,avg,paused,factor,pre_close
2007-05-16,,,,,,,,,,,,
2007-05-17,19300.0,19300.0,19120.0,19120.0,8.0,768400.0,1073741824.0,1.0,19300.0,0.0,1.0,19250.0
2007-05-18,19120.0,19120.0,19120.0,19120.0,0.0,0.0,19785.0,18630.0,19120.0,0.0,1.0,19210.0
2007-05-21,19100.0,19100.0,19100.0,19100.0,42.0,4011000.0,19785.0,18630.0,19100.0,0.0,1.0,19210.0
2007-05-22,19200.0,19200.0,19200.0,19200.0,42.0,4032000.0,19670.0,18525.0,19200.0,0.0,1.0,19100.0
2007-05-23,19200.0,19200.0,19200.0,19200.0,0.0,0.0,19775.0,18620.0,19200.0,0.0,1.0,19200.0
2007-05-24,19200.0,19200.0,19200.0,19200.0,0.0,0.0,19775.0,18620.0,19200.0,0.0,1.0,19200.0
2007-05-25,19200.0,19200.0,19200.0,19200.0,0.0,0.0,19775.0,18620.0,19200.0,0.0,1.0,19200.0
2007-05-28,19200.0,19200.0,19200.0,19200.0,0.0,0.0,19775.0,18620.0,19200.0,0.0,1.0,19200.0
2007-05-29,19200.0,19200.0,19200.0,19200.0,0.0,0.0,19775.0,18620.0,19200.0,0.0,1.0,19200.0
2007-05-30,19200.0,19200.0,19200.0,19200.0,0.0,0.0,19775.0,18620.0,19200.0,0.0,1.0,19200.0
2007-05-31,19100.0,19150.0,19100.0,19150.0,34.0,3247000.0,19775.0,18620.0,19100.0,0.0,1.0,19200.0
2007-06-01,19200.0,19200.0,19100.0,19130.0,22.0,2104300.0,19670.0,18525.0,19200.0,0.0,1.0,19100.0
2007-06-04,19080.0,19130.0,19040.0,19050.0,62.0,5916350.0,19700.0,18555.0,19080.0,0.0,1.0,19130.0
2007-06-05,19130.0,19130.0,19100.0,19100.0,12.0,1146300.0,19655.0,18510.0,19130.0,0.0,1.0,19085.0
2007-06-06,19130.0,19130.0,19090.0,19115.0,46.0,4393000.0,19675.0,18530.0,19130.0,0.0,1.0,19105.0
2007-06-07,19080.0,19080.0,19080.0,19080.0,40.0,3816000.0,19670.0,18525.0,19080.0,0.0,1.0,19100.0
2007-06-08,19150.0,19150.0,19140.0,19140.0,4.0,382900.0,19650.0,18505.0,19150.0,0.0,1.0,19080.0
2007-06-11,19140.0,19140.0,19060.0,19060.0,30.0,2862000.0,19715.0,18570.0,19140.0,0.0,1.0,19145.0
2007-06-12,19060.0,19060.0,19055.0,19055.0,4.0,381100.0,19650.0,18505.0,19060.0,0.0,1.0,19080.0
2007-06-13,19010.0,19050.0,19010.0,19040.0,356.0,33855600.0,19625.0,18480.0,19010.0,0.0,1.0,19055.0
2007-06-14,19090.0,19090.0,18860.0,18900.0,470.0,44650000.0,19590.0,18445.0,19090.0,0.0,1.0,19020.0
2007-06-15,18900.0,18950.0,18840.0,18950.0,168.0,15871800.0,19570.0,18430.0,18900.0,0.0,1.0,19000.0
2007-06-18,18990.0,19000.0,18950.0,18950.0,354.0,33594600.0,19460.0,18325.0,18990.0,0.0,1.0,18895.0
2007-06-19,18810.0,18970.0,18810.0,18960.0,262.0,24765550.0,19545.0,18410.0,18810.0,0.0,1.0,18980.0
