Time,open,high,low,close,volume,money,high_limit,low_limit,avg,paused,factor,pre_close
2017-09-18,16425.0,16695.0,16405.0,16635.0,16.0,1324650.0,18680.0,14675.0,16558.125,0.0,1.0,16680.0
2017-09-19,16705.0,16960.0,16505.0,16920.0,22.0,1852600.0,17545.0,15560.0,16841.8182,0.0,1.0,16555.0
2017-09-20,16845.0,17325.0,16725.0,17140.0,88.0,7483200.0,17850.0,15825.0,17007.2727,0.0,1.0,16840.0
2017-09-21,17350.0,17440.0,17060.0,17185.0,64.0,5527350.0,18025.0,15980.0,17272.9688,0.0,1.0,17005.0
2017-09-22,17310.0,17375.0,16605.0,16605.0,68.0,5766050.0,18305.0,16230.0,16958.9706,0.0,1.0,17270.0
2017-09-25,16885.0,16970.0,16700.0,16800.0,120.0,10108250.0,17970.0,15935.0,16847.0833,0.0,1.0,16955.0
2017-09-26,16800.0,16955.0,16800.0,16935.0,82.0,6937250.0,17855.0,15830.0,16920.122,0.0,1.0,16845.0
2017-09-27,16855.0,16950.0,16800.0,16885.0,36.0,3034600.0,17935.0,15900.0,16858.8889,0.0,1.0,16920.0
2017-09-28,16900.0,16940.0,16745.0,16790.0,42.0,3531900.0,17865.0,15840.0,16818.5714,0.0,1.0,16855.0
2017-09-29,16830.0,16875.0,16725.0,16875.0,34.0,2857600.0,18160.0,15465.0,16809.4118,0.0,1.0,16815.0
2017-10-09,16970.0,17050.0,16920.0,17035.0,44.0,3737600.0,18145.0,15460.0,16989.0909,0.0,1.0,16805.0
2017-10-10,17020.0,17120.0,16870.0,16870.0,150.0,12761300.0,18000.0,15965.0,17015.0667,0.0,1.0,16985.0
2017-10-11,16860.0,16925.0,16635.0,16675.0,248.0,20816300.0,18035.0,15990.0,16787.3387,0.0,1.0,17015.0
2017-10-12,16650.0,16845.0,16645.0,16800.0,22.0,1841200.0,17790.0,15775.0,16738.1818,0.0,1.0,16785.0
2017-10-13,16780.0,16995.0,16770.0,16980.0,154.0,13023800.0,17735.0,15730.0,16914.026,0.0,1.0,16735.0
2017-10-16,17000.0,17015.0,16790.0,16880.0,82.0,6941400.0,17920.0,15895.0,16930.2439,0.0,1.0,16910.0
2017-10-17,16850.0,16850.0,16685.0,16730.0,100.0,8382100.0,17945.0,15910.0,16764.2,0.0,1.0,16930.0
2017-10-18,16710.0,16715.0,16500.0,16535.0,128.0,10625350.0,17765.0,15750.0,16602.1094,0.0,1.0,16760.0
2017-10-19,16445.0,16635.0,16415.0,16615.0,112.0,9235350.0,17595.0,15600.0,16491.6964,0.0,1.0,16600.0
2017-10-20,16715.0,16800.0,16660.0,16765.0,48.0,4019500.0,17475.0,15500.0,16747.9167,0.0,1.0,16490.0
2017-10-23,16735.0,16755.0,16615.0,16680.0,20.0,1668800.0,17745.0,15740.0,16688.0,0.0,1.0,16745.0
2017-10-24,16465.0,16830.0,16465.0,16750.0,228.0,18991150.0,17685.0,15680.0,16658.9035,0.0,1.0,16685.0
2017-10-25,16800.0,16880.0,16770.0,16770.0,36.0,3030050.0,17650.0,15655.0,16833.6111,0.0,1.0,16655.0
2017-10-26,16790.0,17010.0,16790.0,16960.0,50.0,4237200.0,17835.0,15820.0,16948.8,0.0,1.0,16830.0
2017-10-27,16920.0,16935.0,16770.0,16780.0,82.0,6920050.0,17960.0,15925.0,16878.1707,0.0,1.0,16945.0
2017-10-30,16760.0,16825.0,16760.0,16825.0,42.0,3527500.0,17885.0,15860.0,16797.619,0.0,1.0,16875.0
2017-10-31,16795.0,16865.0,16745.0,16850.0,120.0,10074600.0,17800.0,15785.0,16791.0,0.0,1.0,16795.0
2017-11-01,16795.0,16995.0,16740.0,16760.0,174.0,14701100.0,17795.0,15780.0,16897.8161,0.0,1.0,16790.0
2017-11-02,16765.0,16825.0,16705.0,16755.0,158.0,13238350.0,17905.0,15880.0,16757.4051,0.0,1.0,16895.0
2017-11-03,16755.0,16780.0,16745.0,16755.0,18.0,1508300.0,17760.0,15745.0,16758.8889,0.0,1.0,16755.0
2017-11-06,16760.0,16785.0,16600.0,16705.0,70.0,5832800.0,17760.0,15745.0,16665.1429,0.0,1.0,16755.0
2017-11-07,16675.0,16695.0,16520.0,16565.0,68.0,5653500.0,17660.0,15665.0,16627.9412,0.0,1.0,16665.0
2017-11-08,16530.0,16535.0,16380.0,16405.0,72.0,5924500.0,17620.0,15625.0,16456.9444,0.0,1.0,16625.0
2017-11-09,16245.0,16330.0,15970.0,16100.0,158.0,12766150.0,17440.0,15465.0,16159.6835,0.0,1.0,16455.0
2017-11-10,16160.0,16200.0,16125.0,16125.0,60.0,4846250.0,17120.0,15185.0,16154.1667,0.0,1.0,16155.0
2017-11-13,16245.0,16275.0,16165.0,16165.0,38.0,3080850.0,17115.0,15180.0,16215.0,0.0,1.0,16150.0
2017-11-14,16215.0,16295.0,16155.0,16155.0,36.0,2917200.0,17185.0,15240.0,16206.6667,0.0,1.0,16215.0
2017-11-15,16165.0,16165.0,15960.0,16100.0,42.0,3377900.0,17175.0,15230.0,16085.2381,0.0,1.0,16205.0
2017-11-16,16210.0,16290.0,16185.0,16185.0,140.0,11368700.0,17050.0,15115.0,16241.0,0.0,1.0,16085.0
2017-11-17,16260.0,16260.0,16095.0,16110.0,26.0,2101200.0,17210.0,15265.0,16163.0769,0.0,1.0,16240.0
2017-11-20,16065.0,16065.0,15810.0,15850.0,78.0,6220550.0,17125.0,15190.0,15950.1282,0.0,1.0,16160.0
2017-11-21,15840.0,15840.0,15605.0,15605.0,66.0,5202500.0,16905.0,14990.0,15765.1515,0.0,1.0,15950.0
2017-11-22,15670.0,15715.0,15585.0,15685.0,74.0,5801300.0,16710.0,14815.0,15679.1892,0.0,1.0,15765.0
