Time,open,high,low,close,volume,money,high_limit,low_limit,avg,paused,factor,pre_close
2007-01-16,,,,,,,,,,,,
2007-01-17,,,,,,,,,,,,
2007-01-18,,,,,,,,,,,,
2007-01-19,,,,,,,,,,,,
2007-01-22,,,,,,,,,,,,
2007-01-23,,,,,,,,,,,,
2007-01-24,,,,,,,,,,,,
2007-01-25,,,,,,,,,,,,
2007-01-26,,,,,,,,,,,,
2007-01-29,,,,,,,,,,,,
2007-01-30,,,,,,,,,,,,
2007-01-31,,,,,,,,,,,,
2007-02-01,,,,,,,,,,,,
2007-02-02,,,,,,,,,,,,
2007-02-05,,,,,,,,,,,,
2007-02-06,18990.0,18990.0,18150.0,18150.0,6.0,555300.0,1073741824.0,1.0,18990.0,0.0,1.0,18200.0
2007-02-07,18470.0,18470.0,18270.0,18270.0,36.0,3308400.0,19065.0,17950.0,18470.0,0.0,1.0,18510.0
2007-02-08,17900.0,18400.0,17900.0,18170.0,106.0,9624800.0,18930.0,17825.0,17900.0,0.0,1.0,18380.0
2007-02-09,18460.0,18460.0,18250.0,18250.0,26.0,2389400.0,18700.0,17615.0,18460.0,0.0,1.0,18160.0
2007-02-12,18250.0,18250.0,18250.0,18250.0,0.0,0.0,18930.0,17825.0,18250.0,0.0,1.0,18380.0
2007-02-13,18380.0,18380.0,18380.0,18380.0,10.0,919000.0,18930.0,17825.0,18380.0,0.0,1.0,18380.0
2007-02-14,17950.0,18690.0,17950.0,18590.0,270.0,24894000.0,18930.0,17825.0,17950.0,0.0,1.0,18380.0
2007-02-15,18590.0,18590.0,18590.0,18590.0,0.0,0.0,18990.0,17885.0,18590.0,0.0,1.0,18440.0
2007-02-16,18790.0,18790.0,18790.0,18790.0,30.0,2818500.0,18990.0,17885.0,18790.0,0.0,1.0,18440.0
2007-02-26,19110.0,19540.0,19110.0,19400.0,70.0,6804000.0,19350.0,18225.0,19110.0,0.0,1.0,18790.0
2007-02-27,19300.0,19390.0,19300.0,19330.0,136.0,13130800.0,20020.0,18855.0,19300.0,0.0,1.0,19440.0
2007-02-28,19200.0,19330.0,19200.0,19330.0,4.0,385200.0,19885.0,18730.0,19200.0,0.0,1.0,19310.0
2007-03-01,19280.0,19280.0,19260.0,19260.0,4.0,385400.0,19835.0,18680.0,19280.0,0.0,1.0,19260.0
2007-03-02,19120.0,19170.0,19010.0,19070.0,84.0,8013600.0,19845.0,18690.0,19120.0,0.0,1.0,19270.0
2007-03-05,18630.0,19070.0,18630.0,19070.0,66.0,6279900.0,19650.0,18505.0,18630.0,0.0,1.0,19080.0
2007-03-06,19010.0,19330.0,19010.0,19300.0,74.0,7096600.0,19600.0,18455.0,19010.0,0.0,1.0,19030.0
2007-03-07,19290.0,19380.0,19240.0,19240.0,302.0,29158100.0,19755.0,18600.0,19290.0,0.0,1.0,19180.0
2007-03-08,19340.0,19340.0,19290.0,19290.0,220.0,21230000.0,19885.0,18730.0,19340.0,0.0,1.0,19310.0
2007-03-09,19190.0,19190.0,19190.0,19190.0,8.0,767600.0,19875.0,18720.0,19190.0,0.0,1.0,19300.0
2007-03-12,19130.0,19170.0,19130.0,19170.0,122.0,11687600.0,19765.0,18610.0,19130.0,0.0,1.0,19190.0
2007-03-13,19250.0,19260.0,19230.0,19230.0,260.0,25025000.0,19730.0,18585.0,19250.0,0.0,1.0,19160.0
2007-03-14,19260.0,19360.0,19220.0,19300.0,396.0,38194200.0,19825.0,18670.0,19260.0,0.0,1.0,19250.0
2007-03-15,19280.0,19350.0,19280.0,19350.0,158.0,15270700.0,19865.0,18710.0,19280.0,0.0,1.0,19290.0
2007-03-16,19440.0,19650.0,19440.0,19540.0,210.0,20517000.0,19905.0,18750.0,19440.0,0.0,1.0,19330.0
2007-03-19,19400.0,19420.0,19400.0,19420.0,4.0,388200.0,20125.0,18950.0,19400.0,0.0,1.0,19540.0
2007-03-20,19660.0,19660.0,19450.0,19490.0,54.0,5262300.0,19990.0,18825.0,19660.0,0.0,1.0,19410.0
2007-03-21,19480.0,19480.0,19320.0,19370.0,146.0,14125500.0,20070.0,18905.0,19480.0,0.0,1.0,19490.0
2007-03-22,19380.0,19380.0,19380.0,19380.0,2.0,193800.0,19930.0,18765.0,19380.0,0.0,1.0,19350.0
2007-03-23,19330.0,19330.0,19200.0,19200.0,60.0,5772000.0,19960.0,18795.0,19330.0,0.0,1.0,19380.0
2007-03-26,18800.0,19170.0,18800.0,19070.0,72.0,6868800.0,19815.0,18660.0,18800.0,0.0,1.0,19240.0
2007-03-27,18980.0,19000.0,18850.0,18880.0,62.0,5862100.0,19650.0,18505.0,18980.0,0.0,1.0,19080.0
2007-03-28,18900.0,18900.0,18800.0,18890.0,152.0,14310800.0,19475.0,18340.0,18900.0,0.0,1.0,18910.0
2007-03-29,18790.0,18870.0,18790.0,18810.0,82.0,7716200.0,19390.0,18265.0,18790.0,0.0,1.0,18830.0
2007-03-30,18850.0,18850.0,18820.0,18820.0,4.0,376600.0,19380.0,18255.0,18850.0,0.0,1.0,18820.0
2007-04-02,18820.0,18850.0,18820.0,18850.0,16.0,1506400.0,19390.0,18265.0,18820.0,0.0,1.0,18830.0
